order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,introduction-xw8s,Introduction,,,,
1,figure-1-latenight-vo87,"Figure 1: A couple experiencing romantic connection at Campus Point, UCSB.",,,,
2,figure-2-collective-fw4j,Figure 2: Students cheering together during a basketball game at the Thunderdome.,,,,
3,figure-3-playful-j399,Figure 3: Fraternity brothers participating in a playful pie prank fundraiser on a UCSB ambor road.,,,,
4,harmonic-healing-by-nufh,Figure 4: A group of friends standing on a seaside platform to listen to music at night under the stars.,,,,
5,conclusion-ya39,Conclusion,,,,
6,workcite-ym2c,Work Cited,,,,
